1 252.908 65.754
2 279.122 71.727
3 328.882 57.135
4 280.445 50.360
5 358.858 44.477
6 334.063 46.722
7 312.340 56.152
8 320.387 57.764
9 376.118 54.186
10 305.801 48.476
11 355.123 41.216
12 310.819 61.065
13 370.235 39.446
14 298.609 67.687
15 291.977 38.990
16 291.987 38.790
17 303.608 52.635
18 298.492 56.062
19 336.226 58.528
20 354.631 49.079
21 311.202 55.395
22 334.256 41.628
23 302.133 63.540
24 270.465 46.949
25 253.113 45.452
26 351.661 64.308
27 326.420 50.188
28 316.713 48.732
29 334.235 53.179
30 326.095 55.897
31 325.605 47.800
32 317.911 42.182
33 305.942 49.020
34 330.326 47.475
35 302.232 50.791
36 321.818 41.647
37 295.637 49.615
38 326.031 50.234
39 359.526 59.533
40 363.325 47.725
