1 175.84 39.73
2 170.15 42.08
3 190.67 40.69
4 137.09 46.56
5 133.00 42.21
6 185.91 35.06
7 176.14 47.12
8 154.05 46.81
9 125.42 41.32
10 156.85 43.23
11 151.97 45.30
12 185.99 45.33
13 162.14 46.17
14 194.84 39.67
15 172.97 39.92
16 176.89 38.78
17 174.95 47.12
18 171.62 46.98
19 173.92 53.46
20 177.80 45.15
21 139.71 39.51
22 163.83 61.20
23 169.42 40.93
24 203.13 49.47
25 180.05 63.86
26 203.54 58.43
27 176.96 46.76
28 168.69 41.40
29 174.97 44.56
30 226.74 38.06
31 236.57 48.55
32 217.75 39.86
33 238.30 59.38
34 186.37 41.69
35 142.25 45.36
36 186.15 46.07
37 150.87 32.87
38 166.16 48.58
39 184.83 52.76
40 155.04 43.69
