xe1xe2-0111 umb1-pdb pHEME 185.23 52.05
xe1xe2-0111 umb2-pdb pHEME 198.87 51.25
xe1xe2-0111 umb3-pdb pHEME 191.72 54.24
xe1xe2-0111 umb4-pdb pHEME 224.92 60.80
xe1xe2-0111 umb5-pdb pHEME 171.77 58.91
xe1xe2-0111 umb6-pdb pHEME 162.47 38.95
xe1xe2-0111 umb7-pdb pHEME 161.14 56.17
xe1xe2-0111 umb8-pdb pHEME 174.91 44.84
xe1xe2-0111 umb9-pdb pHEME 204.47 51.04
xe1xe2-0111 umb10-pdb pHEME 172.11 38.56
xe1xe2-0111 umb11-pdb pHEME 226.68 64.36
xe1xe2-0111 umb12-pdb pHEME 234.08 54.93
xe1xe2-0111 umb13-pdb pHEME 203.75 45.16
xe1xe2-0111 umb14-pdb pHEME 201.71 50.91
xe1xe2-0111 umb15-pdb pHEME 184.67 48.16
xe1xe2-0111 umb16-pdb pHEME 162.81 48.28
xe1xe2-0111 umb17-pdb pHEME 196.83 59.64
xe1xe2-0111 umb18-pdb pHEME 191.19 67.88
xe1xe2-0111 umb19-pdb pHEME 202.02 50.72
xe1xe2-0111 umb20-pdb pHEME 201.43 50.02
xe1xe2-0111 umb21-pdb pHEME 190.93 60.33
xe1xe2-0111 umb22-pdb pHEME 195.70 63.58
xe1xe2-0111 umb23-pdb pHEME 223.37 58.40
xe1xe2-0111 umb24-pdb pHEME 184.73 55.08
xe1xe2-0111 umb25-pdb pHEME 168.11 52.07
xe1xe2-0111 umb26-pdb pHEME 183.92 50.52
xe1xe2-0111 umb27-pdb pHEME 172.10 63.86
xe1xe2-0111 umb28-pdb pHEME 183.03 51.69
xe1xe2-0111 umb29-pdb pHEME 234.26 43.60
xe1xe2-0111 umb30-pdb pHEME 232.54 59.54
xe1xe2-0111 umb31-pdb pHEME 205.14 55.42
xe1xe2-0111 umb32-pdb pHEME 225.37 61.60
xe1xe2-0111 umb33-pdb pHEME 213.41 60.40
xe1xe2-0111 umb34-pdb pHEME 198.08 65.19
xe1xe2-0111 umb35-pdb pHEME 236.06 49.95
xe1xe2-0111 umb36-pdb pHEME 194.96 53.28
xe1xe2-0111 umb37-pdb pHEME 205.24 45.16
xe1xe2-0111 umb38-pdb pHEME 214.38 48.05
xe1xe2-0111 umb39-pdb pHEME 208.68 76.66
xe1xe2-0111 umb40-pdb pHEME 269.11 47.55
