xe1xe2-0111 umb1-pdb pXe3 178.09 53.95
xe1xe2-0111 umb2-pdb pXe3 135.35 32.31
xe1xe2-0111 umb3-pdb pXe3 171.10 47.73
xe1xe2-0111 umb4-pdb pXe3 161.47 60.36
xe1xe2-0111 umb5-pdb pXe3 161.09 54.09
xe1xe2-0111 umb6-pdb pXe3 137.35 40.81
xe1xe2-0111 umb7-pdb pXe3 179.82 42.52
xe1xe2-0111 umb8-pdb pXe3 160.41 44.27
xe1xe2-0111 umb9-pdb pXe3 180.24 60.94
xe1xe2-0111 umb10-pdb pXe3 176.43 57.48
xe1xe2-0111 umb11-pdb pXe3 189.00 45.42
xe1xe2-0111 umb12-pdb pXe3 162.10 43.60
xe1xe2-0111 umb13-pdb pXe3 191.85 64.96
xe1xe2-0111 umb14-pdb pXe3 207.13 53.29
xe1xe2-0111 umb15-pdb pXe3 244.58 62.01
xe1xe2-0111 umb16-pdb pXe3 236.66 48.94
xe1xe2-0111 umb17-pdb pXe3 232.52 49.88
xe1xe2-0111 umb18-pdb pXe3 160.14 30.96
xe1xe2-0111 umb19-pdb pXe3 168.71 39.21
xe1xe2-0111 umb20-pdb pXe3 168.66 39.36
xe1xe2-0111 umb21-pdb pXe3 214.14 47.01
xe1xe2-0111 umb22-pdb pXe3 257.32 108.11
xe1xe2-0111 umb23-pdb pXe3 203.47 36.84
xe1xe2-0111 umb24-pdb pXe3 182.14 26.64
xe1xe2-0111 umb25-pdb pXe3 212.07 47.94
xe1xe2-0111 umb26-pdb pXe3 237.60 37.26
xe1xe2-0111 umb27-pdb pXe3 202.53 50.71
xe1xe2-0111 umb28-pdb pXe3 194.24 48.98
xe1xe2-0111 umb29-pdb pXe3 160.19 36.42
xe1xe2-0111 umb30-pdb pXe3 173.62 49.58
xe1xe2-0111 umb31-pdb pXe3 154.70 37.00
xe1xe2-0111 umb32-pdb pXe3 161.47 31.07
xe1xe2-0111 umb33-pdb pXe3 184.87 49.41
xe1xe2-0111 umb34-pdb pXe3 163.69 37.71
xe1xe2-0111 umb35-pdb pXe3 195.13 51.82
xe1xe2-0111 umb36-pdb pXe3 179.98 48.34
xe1xe2-0111 umb37-pdb pXe3 201.13 51.85
xe1xe2-0111 umb38-pdb pXe3 155.11 30.13
xe1xe2-0111 umb39-pdb pXe3 170.76 50.06
xe1xe2-0111 umb40-pdb pXe3 157.59 38.88
