1 120.973 33.014
2 123.119 50.645
3 121.389 40.732
4 125.966 33.414
5 143.460 44.527
6 101.700 34.663
7 95.664 36.297
8 69.923 28.107
9 65.741 23.727
10 96.076 35.919
11 107.964 46.916
12 66.238 27.365
13 70.615 37.158
14 148.707 64.532
15 69.263 30.144
16 66.060 25.951
17 79.645 38.064
18 112.798 40.852
19 180.869 46.674
20 156.231 52.298
21 85.666 38.341
22 147.886 48.051
23 134.727 51.906
24 162.709 47.184
25 128.020 38.780
26 119.804 48.460
27 130.300 49.191
28 134.881 36.970
29 134.132 43.206
30 132.761 40.455
31 132.342 42.277
32 122.653 49.610
33 119.214 38.916
34 141.109 39.808
35 139.127 44.550
36 124.942 43.312
37 167.372 54.047
38 144.281 41.735
39 150.174 31.421
40 161.878 40.769
